,brand_name,product_id,image_url,in_stock,mrp,price,product_title,rating,rating_count,tags,product_url,listing_page_name,listing_url,listing_page_no,Category
0,Herbal Essences,2659739,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/e/4/e445df9HERAB00000002.jpg",True,1250,750,Herbal Essences Argan Oil Of Moroccan Shampoo & Conditioner With Free Neem Comb,4.4,1008,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-argan-oil-of-moroccan-shampoo-conditioner-with-free-neem-comb/p/2659739,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
1,Herbal Essences,1290145,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/c/e/ce412e3NYKHES0000017-new1.jpg",True,1575,1181,"Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair, No Sulphates & Paraben",4.4,1034,FEATURED,https://www.nykaa.com/herbal-essences-potent-aloe-bamboo-shampoo-and-conditioner-combo-sulphate-and-paraben-free/p/1290145,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
2,Herbal Essences,456559,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/3/e/3e962e3NYKHES0000001-new1.jpg",True,1250,688,"Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants",4.3,10879,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-argan-oil-shampoo-conditioner-for-frizz-no-parabens-no-colourants-slash-save-hp2021/p/456559,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
3,Herbal Essences,3753166,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/6/e/6e5a792HERAB00000007.jpg",True,1575,945,"Herbal Essences Aloe & Bamboo Shampoo + Conditioner Kit For Soft Hair, Sulphate & Paraben Free",4.3,65,FEATURED,https://www.nykaa.com/herbal-essences-soha-aloe-bamboo-shampoo-conditioner-kit-for-soft-hair-sulphate-paraben-free/p/3753166,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
4,Herbal Essences,5360837,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/f/a/fa76e538001090222848(1).jpg",True,600,390,Herbal Essences Argan Oil Of Morocco Shampoo - For Frizz Free Hair - Paraben Free,4.3,8769,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-argan-oil-of-morocco-shampoo-for-frizz-free-hair-paraben-free/p/5360837,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
5,Herbal Essences,4719645,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/1/6/168e2e3HERAB00000009-new1.jpg",True,730,533,"Herbal Essences Strawberry Shampoo & Conditioner For Voluminous Hair - No Parabens, No Colourants",4.7,304,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-strawberry-shampoo-conditioner-for-voluminous-hair-no-parabens-no-colourants/p/4719645,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
6,Herbal Essences,4719644,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/d/3/d3512e3HERAB00000008-new1.jpg",True,730,533,"Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants",4.7,305,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-argan-oil-shampoo-conditioner-for-frizz-no-parabens-no-colourants/p/4719644,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
7,Herbal Essences,1044492,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/f/9/f9ffe534902430930758(1).jpg",True,750,525,"Herbal Essences Aloe & Bamboo Shampoo For Soft Smooth Hair, No-Sulphates, Paraben and Silicones",4.3,503,FEATURED,https://www.nykaa.com/herbal-essences-potent-aloe-bamboo-shampoo-sulphates-silicones-and-paraben-free-400ml/p/1044492,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
9,Herbal Essences,1044490,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/8/7/8752e534902430930772(1).jpg",True,750,525,"Herbal Essences Aloe & Eucalyptus Shampoo For Soft Smooth Hair, No- Sulphates, Paraben and Silicones",4.3,512,FEATURED,https://www.nykaa.com/herbal-essences-potent-aloe-eucalyptus-shampoo-sulphates-silicones-and-paraben-free-400ml/p/1044490,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
10,Herbal Essences,5360838,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/e/f/ef6de538001090222541(1).jpg",True,600,390,Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free,4.1,2502,BESTSELLER,https://www.nykaa.com/herbal-essences-strawberry-mint-shampoo-for-cleansing-volume-paraben-free/p/5360838,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
11,Herbal Essences,452442,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/f/1/f1d7e538001090222428(1).jpg",True,600,390,Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants,4.2,2077,BESTSELLER,https://www.nykaa.com/herbal-essences-coconut-milk-shampoo-for-hydration-softness-no-parabens-no-colourants-400ml/p/452442,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
12,Herbal Essences,452443,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/a/d/addbe538001090222961(1).jpg",True,600,390,"Herbal Essences Cocoa Butter Shampoo For Hair Strengthening - No Parabens, No Colourants",4.3,1206,,https://www.nykaa.com/herbal-essences-cocoa-butter-shampoo-for-hair-strengthening-no-parabens-no-colourants-400ml/p/452443,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
14,Herbal Essences,456560,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/a/4/a4512e3NYKHES0000002-new1.jpg",True,1250,875,"Herbal Essences Coconut Milk Shampoo & Conditioner For Hydration & Softness - No Parabens, No Colourants",4.3,3665,,https://www.nykaa.com/herbal-essences-bio-renew-hydrate-coconut-milk-shampoo-conditioner-combo/p/456560,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,1,Shampoo
21,Herbal Essences,1135934,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/7/0/7033cb2nykhes0000013.jpg",True,1850,1295,Herbal Essences Argan 2 Shampoo + Conditioner,4.3,9506,,https://www.nykaa.com/herbal-essences-argan-2-shampoo-conditioner/p/1135934,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,2,Shampoo
24,Herbal Essences,1135936,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/f/8/f89acb2nykhes0000015.jpg",True,1850,1295,Herbal Essences Coconut 2 Shampoo + Conditioner,4.3,3213,,https://www.nykaa.com/herbal-essences-argan-2-shampoo-conditioner/p/1135936,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,2,Shampoo
25,Herbal Essences,456563,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/3/a/3ae72e3NYKHES0000006-new1.jpg",,1250,875,"Herbal Essences Strawberry Shampoo & Conditioner For Volume - No Parabens, No Colourants",4.1,3009,,https://www.nykaa.com/herbal-essences-bio-renew-clean-white-strawberry-sweet-mint-shampoo-conditioner-combo/p/456563,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,2,Shampoo
26,Herbal Essences,1135935,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/9/f/9fb2cb2nykhes0000014.jpg",,1850,1295,Herbal Essences Strawberry 2 Shampoo + Conditioner,4.1,2669,,https://www.nykaa.com/herbal-essences-argan-2-shampoo-conditioner/p/1135935,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,2,Shampoo
27,Herbal Essences,594425,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/5/e/5eda21982309536_1.jpg",,1250,750,Herbal Essences Argan Oil Of Moroccan Shampoo & Conditioner With Free Neem Comb,4.3,11761,,https://www.nykaa.com/slash-save-herbal-essences-argan-shampoo-and-conditioner-kit/p/594425,Herbal Essences,https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594,2,Shampoo
1501,Nykaa Naturals,4283093,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/f/e/fe967fbnykab00000115_1.jpg",True,99,99,Nykaa Naturals Mini Shampoo,3.7,256,,https://www.nykaa.com/nykaa-naturals-mini-shampoo/p/4283093,Nykaa Naturals Products Online,https://www.nykaa.com/brands/nykaa-naturals/c/7666?ptype=lst&id=1888,10,Shampoo
1806,Biotique,386434,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/9/c/9c31aa08904317300377.jpg",True,299,236,Biotique Bio Soya Protein Fresh Nourishing Shampoo,4.2,2833,,https://www.nykaa.com/biotique-bio-soya-protein-fresh-nourishing-shampoo-conf/p/386434,Biotique Herbal Products Collection,"https://www.nykaa.com/brands/biotique/c/923?intcmp=brand_menu,most_viewed,biotique",2,Shampoo
1823,Biotique,952740,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/2/1/21276b68904317304955_1.jpg",True,330,251,Biotique Advanced Organics Onion Black Seed Shampoo,4.3,1315,,https://www.nykaa.com/biotique-advanced-organics-onion-black-seed-shampoo/p/952740,Biotique Herbal Products Collection,"https://www.nykaa.com/brands/biotique/c/923?intcmp=brand_menu,most_viewed,biotique",3,Shampoo
1885,Biotique,598207,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/7/c/7c440fb8904317300537_1.jpg",True,169,144,Biotique Disney Kids Cars Apple Twist Shampoo,4.5,261,,https://www.nykaa.com/biotique-bio-apple-twist-shampoo-for-disney-kids/p/598207,Biotique Herbal Products Collection,"https://www.nykaa.com/brands/biotique/c/923?intcmp=brand_menu,most_viewed,biotique",6,Shampoo
1889,Biotique,952743,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/9/b/9b0a6b68904317304962_1.jpg",True,330,251,Biotique Advanced Organics Banana Deeply Nourishing Shampoo,4.3,217,,https://www.nykaa.com/biotique-advanced-organics-banana-deeply-nourishing-shampoo/p/952743,Biotique Herbal Products Collection,"https://www.nykaa.com/brands/biotique/c/923?intcmp=brand_menu,most_viewed,biotique",6,Shampoo
2265,L'Oreal Paris,1162179,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/5/e/5e207ab8901526592470.jpg",True,189,189,L'Oreal Paris Dream Lengths Shampoo,4.4,9662,,https://www.nykaa.com/l-oreal-paris-dream-lengths-shampoo/p/1162179,L'Oreal Paris,https://www.nykaa.com/brands/loreal-paris/c/595?eq=desktop,1,Shampoo
2276,L'Oreal Paris,10970,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/8/9/8901526588985_1_.jpg",True,949,665,L'Oreal Paris Total Repair 5 Shampoo,4.4,7333,,https://www.nykaa.com/l-oreal-paris-total-repair-5-shampoo-1/p/10970,L'Oreal Paris,https://www.nykaa.com/brands/loreal-paris/c/595?eq=desktop,2,Shampoo
2277,L'Oreal Paris,10672,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/8/d/8d4960f8901526588978_1.jpg",True,899,629,L'Oreal Paris 6 Oil Nourish Shampoo,4.4,7562,,https://www.nykaa.com/l-oreal-paris-6-oil-nourish-shampoo/p/10672,L'Oreal Paris,https://www.nykaa.com/brands/loreal-paris/c/595?eq=desktop,2,Shampoo
2282,L'Oreal Paris,220222,"https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/8/9/8901526513352_extraordinary_clay_shampoo_1.png",True,179,179,L'Oreal Paris Extraordinary Clay Shampoo,4.4,6835,,https://www.nykaa.com/l-oreal-paris-extraordinary-clay-shampoo/p/220222,L'Oreal Paris,https://www.nykaa.com/brands/loreal-paris/c/595?eq=desktop,2,Shampoo
